Year	Site	UniversalPlotName	Banded	PtCountsum	Avgmaxht	Avgdens	ht.thatch	S.patens	Distichlis	S.alternifloraShort	S.alternifloraTall	Juncus	Bare	Other	Phragmites	Shrub	Tallsedge	Water							
2004	EastRiverMarsh	04PLOT019	27	38	37.14	50.44	9.11	50.33	8.33	10.56	12.00	12.78	4.44	1.56	0.00	0.00	0.00	0.00							
2004	"HammockRiverMarsh,Clinton"	04PLOT047	13	17	30.04	36.36	10.22	26.67	7.22	25.89	19.00	1.44	7.78	12.00	0.00	0.00	0.00	0.00							
2004	"HammockRiverMarsh,Clinton"	04PLOT048	8	14	25.31	22.47	3.22	37.17	0.00	25.00	13.61	0.00	16.11	8.11	0.00	0.00	0.00	0.00							
2004	HammonassetSP	04PLOT005	30	35	40.17	26.31	12.11	47.00	1.67	11.67	24.11	0.00	15.56	0.00	0.00	0.00	0.00	0.00							
2004	HammonassetSP	04PLOT006	33	61	31.11	43.11	6.67	49.33	0.44	34.11	5.89	0.56	0.00	9.67	0.00	0.00	0.00	0.00							
2004	HoadleyCreekMarsh	04PLOT094	0	0	48.81	9.40	1.67	0.00	0.00	41.44	55.56	0.00	0.00	3.00	0.00	0.00	0.00	0.00							
2004	HoadleyCreekMarsh	04PLOT095	0	0	50.22	8.27	8.78	0.56	0.56	21.33	56.11	0.00	10.33	0.00	0.00	0.00	0.00	11.11							
2004	IndianNeckMarsh	04PLOT053	7	5	50.22	14.71	2.56	16.53	0.56	5.56	71.25	0.00	6.11	0.00	0.00	0.00	0.00	0.00							
2004	IndianNeckMarsh	04PLOT054	15	2	56.17	16.67	12.56	19.44	0.00	10.56	70.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2004	McKinneyNWR	04PLOT051	19	7	36.50	27.00	6.11	30.61	3.89	22.22	12.50	10.00	20.00	0.22	0.00	0.56	0.00	0.00							
2004	McKinneyNWR	04PLOT052	4	1	34.11	34.58	4.78	52.22	2.22	41.11	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2004	PattagansettRiverMarsh	04PLOT041	12	19	36.25	56.40	8.11	75.00	0.00	0.56	2.22	0.00	0.00	0.56	0.00	0.00	0.00	11.11							
2004	PattagansettRiverMarsh	04PLOT042	10	21	53.08	34.38	9.67	57.00	5.22	0.00	6.78	15.78	1.11	1.89	7.78	4.44	0.00	0.00							
2004	WestRiverMarsh	04PLOT043	9	17	36.72	40.13	4.67	49.50	35.50	0.00	0.00	12.22	0.00	2.78	0.00	0.00	0.00	0.00							
2004	WestRiverMarsh	04PLOT044	13	21	41.92	63.22	8.89	40.44	32.89	0.00	14.00	8.89	3.56	0.22	0.00	0.00	0.00	0.00							
2004	WestRiverMarsh	04PLOT049	5	5	39.44	54.16	6.00	37.00	32.78	1.67	13.89	8.33	2.78	0.00	0.00	0.00	0.00	0.00							
2004	WestRiverMarsh	04PLOT050	9	9	32.19	45.78	5.33	63.00	9.00	14.33	0.00	5.56	5.56	2.56	0.00	0.00	0.00	0.00							
