RADICADO,FECHA,HORA,DÍA DE LA SEMANA,CLASE DE VEHICULO,TIPO DE SERVICIO,TIPO DE VICTIMA,SEXO,ESTADO DE BEODEZ,RESULTADO DE BEODEZ,GRAVEDAD,CLASE DE ACCIDENTE,CAUSA,DIRECCIÓN,BARRIO,AREA,Coordenadas
2181710,06/29/2018,5:20 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,HERIDO,Choque,Impericia en el manejo,Carrera 48 Calle 38 A Sur,LAS VEGAS,Urbana,"(6.172315595, -75.59309025)"
2181710,06/29/2018,5:20 p.m.,viernes,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,No,N/A,HERIDO,Choque,Impericia en el manejo,Carrera 48 Calle 38 A Sur,LAS VEGAS,Urbana,"(6.172315595, -75.59309025)"
2181709,06/29/2018,4:20 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 48,LAS VEGAS,Urbana,"(6.17412211, -75.593061115)"
2181709,06/29/2018,4:20 p.m.,viernes,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 48,LAS VEGAS,Urbana,"(6.17412211, -75.593061115)"
2181722,06/29/2018,3:00 p.m.,viernes,CAMIONETA,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 376 Kilometro  8,VEREDA PERICO,Rural,
2181722,06/29/2018,3:00 p.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 376 Kilometro  8,VEREDA PERICO,Rural,
2181712,06/29/2018,9:00 a.m.,viernes,CAMIONETA,PUBLICO,Conductor,Masculino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Transversal 36  Sur Diagonal 30,LA SEBASTIANA,Urbana,"(6.168076323, -75.579944151)"
2181712,06/29/2018,9:00 a.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Transversal 36  Sur Diagonal 30,LA SEBASTIANA,Urbana,"(6.168076323, -75.579944151)"
2181712,06/29/2018,9:00 a.m.,viernes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Transversal 36  Sur Diagonal 30,LA SEBASTIANA,Urbana,"(6.168076323, -75.579944151)"
2181706,06/28/2018,6:50 a.m.,jueves,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Carrera 50 Calle 38 A Sur,LAS VEGAS,Urbana,
2181706,06/28/2018,6:50 a.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,Adelantar cerrando,Carrera 50 Calle 38 A Sur,LAS VEGAS,Urbana,
2181716,06/28/2018,10:40 p.m.,jueves,CAMIONETA,DIPLOMATICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Calle 36 A Sur Carrera 26 A,VEREDA EL ESCOBERO,Urbana,"(6.167621297, -75.578524101)"
2181716,06/28/2018,10:40 p.m.,jueves,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Calle 36 A Sur Carrera 26 A,VEREDA EL ESCOBERO,Urbana,"(6.167621297, -75.578524101)"
2181697,06/28/2018,3:30 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Carrera 43 A Transversal 27 A Sur,PONTE VEDRA,Urbana,"(6.178993539, -75.583605914)"
2181697,06/28/2018,3:30 p.m.,jueves,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Carrera 43 A Transversal 27 A Sur,PONTE VEDRA,Urbana,"(6.178993539, -75.583605914)"
2181715,06/28/2018,8:30 p.m.,jueves,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 30  Sur,LAS VEGAS,Urbana,"(6.179366643, -75.588084104)"
2181715,06/28/2018,8:30 p.m.,jueves,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 30  Sur,LAS VEGAS,Urbana,"(6.179366643, -75.588084104)"
2181699,06/28/2018,6:35 a.m.,jueves,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 25  Sur,VILLA GRANDE,Urbana,"(6.181616833, -75.581857267)"
2181699,06/28/2018,6:35 a.m.,jueves,CAMIONETA,PARTICULAR,Conductor,Femenino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Carrera 43 A Calle 25  Sur,VILLA GRANDE,Urbana,"(6.181616833, -75.581857267)"
2181694,06/28/2018,1:15 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 27 D Sur Carrera 27 B,EL CHOCHO,Urbana,"(6.169224506, -75.571738164)"
2181694,06/28/2018,1:15 p.m.,jueves,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 27 D Sur Carrera 27 B,EL CHOCHO,Urbana,"(6.169224506, -75.571738164)"
2181700,06/28/2018,4:00 a.m.,jueves,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,HERIDO,Caida Ocupante,Impericia en el manejo,Carrera 50 Calle 37  Sur,LAS VEGAS,Urbana,
2181724,06/28/2018,2:00 p.m.,jueves,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Tramo 372 Kilometro  15,VEREDA PALMAS,Rural,
2181705,06/27/2018,6:00 p.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 373 Kilometro  7,VEREDA PALMAS,Rural,
2181691,06/27/2018,10:30 a.m.,miércoles,TRACTOCAMION,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Adelantar por la derecha,Carrera 49 Calle 39  Sur,LAS VEGAS,Urbana,"(6.173609359, -75.597070569)"
2181691,06/27/2018,10:30 a.m.,miércoles,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Adelantar por la derecha,Carrera 49 Calle 39  Sur,LAS VEGAS,Urbana,"(6.173609359, -75.597070569)"
2181698,06/27/2018,8:30 a.m.,miércoles,CAMIONETA,PUBLICO,Conductor,Masculino,No,N/A,HERIDO,Atropello,Desobedecer senales,Calle 40  Sur Carrera 42,EL DORADO,Urbana,
2181690,06/27/2018,8:17 a.m.,miércoles,CAMION,PUBLICO,Conductor,Masculino,No,N/A,HERIDO,Choque,Impericia en el manejo,Carrera 49 Calle 43  Sur,LAS VEGAS,Urbana,"(6.160925818, -75.599980088)"
2181690,06/27/2018,8:17 a.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,HERIDO,Choque,Vehiculo mal estacionado,Carrera 49 Calle 43  Sur,LAS VEGAS,Urbana,"(6.160925818, -75.599980088)"
2181690,06/27/2018,8:17 a.m.,miércoles,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,HERIDO,Choque,Impericia en el manejo,Carrera 49 Calle 43  Sur,LAS VEGAS,Urbana,"(6.160925818, -75.599980088)"
2181690,06/27/2018,8:17 a.m.,miércoles,CAMION,PUBLICO,Conductor,Masculino,No,N/A,HERIDO,Choque,Vehiculo mal estacionado,Carrera 49 Calle 43  Sur,LAS VEGAS,Urbana,"(6.160925818, -75.599980088)"
2181696,06/27/2018,7:00 a.m.,miércoles,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 34 A Sur Carrera 27 D,ALTO DE MISAEL,Urbana,"(6.172512502, -75.577047381)"
2181696,06/27/2018,7:00 a.m.,miércoles,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 34 A Sur Carrera 27 D,ALTO DE MISAEL,Urbana,"(6.172512502, -75.577047381)"
2181705,06/27/2018,6:00 p.m.,miércoles,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 373 Kilometro  7,VEREDA PALMAS,Rural,
2181704,06/26/2018,7:56 a.m.,martes,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Reverso imprudente,Carrera 40 A Calle 38  Sur,EL DORADO,Urbana,"(6.169546916, -75.585857233)"
2181684,06/26/2018,3:15 p.m.,martes,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 39 D Sur Carrera 25,EL CHINGU├ì,Urbana,"(6.154343948, -75.578021489)"
2181704,06/26/2018,7:56 a.m.,martes,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Reverso imprudente,Carrera 40 A Calle 38  Sur,EL DORADO,Urbana,"(6.169546916, -75.585857233)"
2181683,06/26/2018,1:50 p.m.,martes,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No respetar prelacion,Carrera 48 Calle 49 B Sur,LAS CASITAS,Urbana,"(6.162599027, -75.602787472)"
2181683,06/26/2018,1:50 p.m.,martes,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No respetar prelacion,Carrera 48 Calle 49 B Sur,LAS CASITAS,Urbana,"(6.162599027, -75.602787472)"
2181695,06/26/2018,5:45 p.m.,martes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 372 Kilometro  12,VEREDA PALMAS,Rural,
2181695,06/26/2018,5:45 p.m.,martes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 372 Kilometro  12,VEREDA PALMAS,Rural,
2181695,06/26/2018,5:45 p.m.,martes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Tramo 372 Kilometro  12,VEREDA PALMAS,Rural,
2181693,06/26/2018,5:45 p.m.,martes,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Tramo 373 Kilometro  12,VEREDA PALMAS,Rural,
2181678,06/26/2018,5:40 p.m.,martes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Calle 30  Sur Carrera 45 A,JARDINES,Urbana,"(6.178033442, -75.586523966)"
2181678,06/26/2018,5:40 p.m.,martes,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,No,N/A,HERIDO,Choque,No mantener distancia de seguridad,Calle 30  Sur Carrera 45 A,JARDINES,Urbana,"(6.178033442, -75.586523966)"
2181692,06/26/2018,6:48 a.m.,martes,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No respetar pelacion de interseccion o giros,Calle 25  Sur Carrera 41,ZU├æIGA,Urbana,"(6.179145147, -75.577476499)"
2181692,06/26/2018,6:48 a.m.,martes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 25  Sur Carrera 41,ZU├æIGA,Urbana,"(6.179145147, -75.577476499)"
2181692,06/26/2018,6:48 a.m.,martes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,No respetar pelacion de interseccion o giros,Calle 25  Sur Carrera 41,ZU├æIGA,Urbana,"(6.179145147, -75.577476499)"
2181692,06/26/2018,6:48 a.m.,martes,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 25  Sur Carrera 41,ZU├æIGA,Urbana,"(6.179145147, -75.577476499)"
2181723,06/26/2018,2:45 p.m.,martes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 40  Sur Carrera 24,EL SALADO,Urbana,"(6.147263187, -75.576335752)"
2181723,06/26/2018,2:45 p.m.,martes,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 40  Sur Carrera 24,EL SALADO,Urbana,"(6.147263187, -75.576335752)"
2181688,06/26/2018,1:40 p.m.,martes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Carrera 43 A Calle 45  Sur,LA PAZ,Urbana,"(6.165116925, -75.594483161)"
2181688,06/26/2018,1:40 p.m.,martes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Carrera 43 A Calle 45  Sur,LA PAZ,Urbana,"(6.165116925, -75.594483161)"
2181688,06/26/2018,1:40 p.m.,martes,AUTOMOVIL,PARTICULAR,Conductor,Sin Registro,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Carrera 43 A Calle 45  Sur,LA PAZ,Urbana,"(6.165116925, -75.594483161)"
2181689,06/26/2018,6:30 p.m.,martes,AUTOMOVIL,PARTICULAR,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 30  Sur,LAS VEGAS,Urbana,"(6.179366643, -75.588084104)"
2181689,06/26/2018,6:30 p.m.,martes,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 30  Sur,LAS VEGAS,Urbana,"(6.179366643, -75.588084104)"
2181701,06/26/2018,4:30 p.m.,martes,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 40  Sur Carrera 24 D,EL VALLANO,Urbana,"(6.147263187, -75.576335752)"
2181701,06/26/2018,4:30 p.m.,martes,BUS,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 40  Sur Carrera 24 D,EL VALLANO,Urbana,"(6.147263187, -75.576335752)"
2181687,06/26/2018,4:30 p.m.,martes,CAMION,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 39,ZONA CENTRO,Urbana,"(6.169035546, -75.584847552)"
2181687,06/26/2018,4:30 p.m.,martes,CAMPERO,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 39,ZONA CENTRO,Urbana,"(6.169035546, -75.584847552)"
2181680,06/26/2018,2:15 p.m.,martes,CAMPERO,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Transitar con las puertas abiertas,Calle 40 B Sur Carrera 39 A,EL DORADO,Urbana,"(6.165386968, -75.587185007)"
2181680,06/26/2018,2:15 p.m.,martes,CAMION,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Transitar con las puertas abiertas,Calle 40 B Sur Carrera 39 A,EL DORADO,Urbana,"(6.165386968, -75.587185007)"
2181684,06/26/2018,3:15 p.m.,martes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 39 D Sur Carrera 25,EL CHINGU├ì,Urbana,"(6.154343948, -75.578021489)"
2181684,06/26/2018,3:15 p.m.,martes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Calle 39 D Sur Carrera 25,EL CHINGU├ì,Urbana,"(6.154343948, -75.578021489)"
2181673,06/25/2018,5:15 p.m.,lunes,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Poner en marcha un vehiculo sin precauci,Carrera 49 Calle 25 AA Sur,LAS VEGAS,Urbana,"(6.18641241, -75.585062957)"
2181668,06/25/2018,6:50 p.m.,lunes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 49,LAS VEGAS,Urbana,"(6.174789471, -75.594204243)"
2181668,06/25/2018,6:50 p.m.,lunes,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 49,LAS VEGAS,Urbana,"(6.174789471, -75.594204243)"
2181652,06/25/2018,1:15 a.m.,lunes,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Transversal 34 C Sur Diagonal 32 D,OBRERO,Urbana,"(6.171646495, -75.582738871)"
2181652,06/25/2018,1:15 a.m.,lunes,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Transversal 34 C Sur Diagonal 32 D,OBRERO,Urbana,"(6.171646495, -75.582738871)"
2181652,06/25/2018,1:15 a.m.,lunes,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Transversal 34 C Sur Diagonal 32 D,OBRERO,Urbana,"(6.171646495, -75.582738871)"
2181677,06/25/2018,9:30 p.m.,lunes,MOTOCICLETA,PARTICULAR,Motociclista,Femenino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Carrera 48 Calle 30  Sur,LAS VEGAS,Urbana,"(6.179366643, -75.588084104)"
2181677,06/25/2018,9:30 p.m.,lunes,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Desobedecer senales,Carrera 48 Calle 30  Sur,LAS VEGAS,Urbana,"(6.179366643, -75.588084104)"
2181679,06/25/2018,6:30 p.m.,lunes,AUTOMOVIL,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Tramo 373 Kilometro  9,VEREDA PALMAS,Rural,
2181673,06/25/2018,5:15 p.m.,lunes,CAMION,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Reverso imprudente,Carrera 49 Calle 25 AA Sur,LAS VEGAS,Urbana,"(6.18641241, -75.585062957)"
2181673,06/25/2018,5:15 p.m.,lunes,CAMION,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Poner en marcha un vehiculo sin precauci,Carrera 49 Calle 25 AA Sur,LAS VEGAS,Urbana,"(6.18641241, -75.585062957)"
2181673,06/25/2018,5:15 p.m.,lunes,AUTOMOVIL,PUBLICO,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Reverso imprudente,Carrera 49 Calle 25 AA Sur,LAS VEGAS,Urbana,"(6.18641241, -75.585062957)"
2181666,06/25/2018,7:00 a.m.,lunes,AUTOMOVIL,N/A,Conductor,Femenino,No,N/A,SOLO DAÑOS,Choque,Exceso de velocidad,Transversal 36  Sur Diagonal 33,LOS NARANJOS,Urbana,"(6.167981516, -75.58144426)"
2181664,06/25/2018,11:00 a.m.,lunes,BICICLETA,N/A,Ciclista,Masculino,No,N/A,HERIDO,Choque,Circular por calzadas o carriles destina,Tramo 373 Kilometro  13,VEREDA PALMAS,Rural,
2181664,06/25/2018,11:00 a.m.,lunes,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,HERIDO,Choque,Circular por calzadas o carriles destina,Tramo 373 Kilometro  13,VEREDA PALMAS,Rural,
2181666,06/25/2018,7:00 a.m.,lunes,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Exceso de velocidad,Transversal 36  Sur Diagonal 33,LOS NARANJOS,Urbana,"(6.167981516, -75.58144426)"
2181666,06/25/2018,7:00 a.m.,lunes,BUS,N/A,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Exceso de velocidad,Transversal 36  Sur Diagonal 33,LOS NARANJOS,Urbana,"(6.167981516, -75.58144426)"
2181685,06/25/2018,1:00 p.m.,lunes,CAMIONETA,PARTICULAR,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Tramo 372 Kilometro  14,VEREDA PALMAS,Rural,
2181685,06/25/2018,1:00 p.m.,lunes,MOTOCICLETA,PARTICULAR,Motociclista,Masculino,No,N/A,SOLO DAÑOS,Choque,Impericia en el manejo,Tramo 372 Kilometro  14,VEREDA PALMAS,Rural,
2181667,06/24/2018,10:00 p.m.,domingo,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,HERIDO,Choque,Desobedecer senales,Transversal 34  Sur Diagonal 39,LA MAGNOLIA,Urbana,"(6.172372683, -75.584554741)"
2181672,06/24/2018,12:30 a.m.,domingo,CAMIONETA,N/A,Conductor,Masculino,No,N/A,HERIDO,Choque,Desobedecer senales,Diagonal 33 Transversal 32 C Sur,LA MAGNOLIA,Urbana,"(6.174362764, -75.584458996)"
2181672,06/24/2018,12:30 a.m.,domingo,CAMPERO,N/A,Conductor,Masculino,No,N/A,HERIDO,Choque,Desobedecer senales,Diagonal 33 Transversal 32 C Sur,LA MAGNOLIA,Urbana,"(6.174362764, -75.584458996)"
2181672,06/24/2018,12:30 a.m.,domingo,MOTOCICLETA,N/A,Motociclista,Masculino,No,N/A,HERIDO,Choque,Desobedecer senales,Diagonal 33 Transversal 32 C Sur,LA MAGNOLIA,Urbana,"(6.174362764, -75.584458996)"
2181671,06/24/2018,12:30 a.m.,domingo,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 32  Sur,LAS VEGAS,Urbana,"(6.177503621, -75.589485382)"
2181671,06/24/2018,12:30 a.m.,domingo,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 32  Sur,LAS VEGAS,Urbana,"(6.177503621, -75.589485382)"
2181671,06/24/2018,12:30 a.m.,domingo,AUTOMOVIL,N/A,Conductor,Masculino,No,N/A,SOLO DAÑOS,Choque,No mantener distancia de seguridad,Carrera 48 Calle 32  Sur,LAS VEGAS,Urbana,"(6.177503621, -75.589485382)"
