ID,NOMBRE BIBLIOTECA,DIRECCIÓN,TELEFONO,TIPO,COMUNA,BARRIO,HORARIO,LINK_DETALLE,CORREO,POINT_Y,POINT_X
27,Centro de Documentación en Primera Infancia Buen Comienzo,CR 76 18A 19 INT 172,385 67 96,Centro de documentación,Belén,La Gloria,Lunes a sábado: 10:00 am - 7:00 pm,http://bibliotecasmedellin.gov.co/centro-documentacion-primera-infancia-buen-comienzo/,cdbuencomienzo@bibliotecasmedellin.gov.co,6.224053961000038,"(6.224053961, -75.597691481)"
13,Casa de la Lectura Infantil,CL 51 45 57 Avenida La Playa,575 22 50,Casa de lectura infantil,La Candelaria,La Candelaria,Lunes a viernes: 8:00 am - 8:00 pm. Sábado: 9:00 am. - 6:00 pm. Domingo-festivo: 11:00 am. - 5:00 pm,http://bibliotecasmedellin.gov.co/casa-de-la-lectura-infantil/,casadelalecturainfantil@bibliotecasmedellin.gov.co,6.248869089000038,"(6.248869089, -75.564245926)"
10,Parque Biblioteca Presbítero José Luis Arroyave,CL 42C 95 90,385 73 13,Parque Biblioteca,La América,Campo Alegre,Lunes a sábado: 9:00 am - 8:00 pm. Domingos y festivos: 11:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-presbitero-jose-luis-arroyave-san-javier/,sanjavier@bibliotecasmedellin.gov.co,6.254167492000022,"(6.254167492, -75.613093771)"
1,Biblioteca Pública Popular No.2,CR 43 118 26 piso 3,236 03 16 / 522 00 38,Biblioteca de proximidad,Popular,Popular,Lunes a viernes: 9:00 am - 6:00 pm. Sábado: 9:00 am - 4:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publico-escolar-popular-2/,popular2@bibliotecasmedellin.gov.co,6.302195024000071,"(6.302195024, -75.547181728)"
31,Biblioteca Pública Ávila,CR 29A 38F 59 Casa de Cultura Ávila,269 57 18,Biblioteca de proximidad,Buenos Aires,Loreto,Lunes a viernes: 9:00 am - 7:00 pm. Sábado: 9:00 am a 4:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publica-avila/,avila@bibliotecasmedellin.gov.co,6.233890622000047,"(6.233890622, -75.556712884)"
15,Filial Biblioteca San Javier,CR 124 53B 40,438 57 61,Biblioteca Pública Piloto y filiales,Corregimiento de San Cristóbal,La Loma,Lunes a viernes: 9:00 am - 6:00 pm. Sábado: 9:00 am - 12:00 m,http://www.reddebibliotecas.org.co/bibliotecas/bpp-filial-san-javier-la-loma,blaloma@bibliotecapiloto.gov.co,6.270646545000034,"(6.270646545, -75.629832494)"
22,Biblioteca Pública Barrial Fernando Gómez Martínez,CR 88C 76DD 20,421 65 95 / 421 34 96,Biblioteca de proximidad,Robledo,Aures No.1,Lunes a viernes: 9:00 am – 6:00 pm. Sábado 9:00 am – 4:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publico-barrial-fernando-gomez-martinez/,robledo@bibliotecasmedellin.gov.co,6.282900606000055,"(6.282900606, -75.592638578)"
3,Parque Biblioteca Manuel Mejía Vallejo,CR 65 14 115,351 04 95 / 351 29 66,Parque Biblioteca,Guayabal,Santa Fe,Lunes a sábado: 8:00 am - 7:00 pm. Domingos y festivos: 11:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-manuel-mejia-vallejo-guayabal/,guayabal@bibliotecasmedellin.gov.co,6.220313902000044,"(6.220313902, -75.586270686)"
28,Centro de Información e Investigación Ambiental (CIIAM),CR 62  65 01,263 96 75,Centro de documentación,La Candelaria,El Chagualo,Lunes a jueves: 7:30 am-12:30 pm y 1:00 pm-5:00 pm. Viernes: 7:30 am-12:30m y 1:00 pm-4:00 pm,http://bibliotecasmedellin.gov.co/centro-documentacion-medio-ambiente/,cdaulaambiental@bibliotecasmedellin.gov.co,6.264159158000041,"(6.264159158, -75.57240752)"
7,Parque Biblioteca España,CR 33B 107A 100,528 94 95 / 529 03 06,Parque Biblioteca,Popular,Santo Domingo Savio No. 1,Lunes a sábado: 9:00 am - 8:00 pm. Domingos y festivos: 11:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-espana-santo-domingo/,santodomingo@bibliotecasmedellin.gov.co,6.294677345000025,"(6.294677345, -75.543970895)"
20,Biblioteca Pública Barrial La Floresta,CL 47 86 21,411 91 54,Biblioteca de proximidad,La América,La Floresta,Lunes a viernes: 8:00 am - 7:00 pm. Sábado: 9:00 am - 4:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publico-barrial-la-floresta/,floresta@biblotecasmedellin.gov.co,6.256720932000064,"(6.256720932, -75.602529535)"
11,Filial San Antonio de Prado,CL 9 11 16,286 43 16,Biblioteca Pública Piloto y filiales,Corregimiento de San Antonio de Prado,Cabecera San Antonio de Prado,Lunes a viernes: 9:00 am - 6:00 pm. Sábado: 9:00 am - 2:00 pm,http://www.reddebibliotecas.org.co/bibliotecas/bpp-filial-san-antonio-de-prado,bsantonio@bibliotecapiloto.gov.co,6.183342439000057,"(6.183342439, -75.641330912)"
17,Biblioteca Pública Centro Occidental,CL 39D 112 81,492 88 88,Biblioteca de proximidad,San Javier,Veinte de Julio,Lunes a sábado: 9:00 am - 5:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-centro-occidental/,coordinacion.centrooccidental@bibliotecasmedellin.gov.co,6.253418128000021,"(6.253418128, -75.624790674)"
23,Biblioteca Pública Escolar Santa Cruz,CR 48 98A 63,522 20 30 / 522 25 43,Biblioteca de proximidad,Santa Cruz,Moscu No. 1,Lunes a viernes: 9:00 am - 6:00 pm. Sábado 9:00 am – 4:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publico-escolar-santa-cruz/,santacruz@bibliotecasmedellin.gov.co,6.289861001000077,"(6.289861001, -75.555531435)"
16,Biblioteca Pública Piloto,CR 64 50 32 Carlos E. Restrepo,460 05 90 ext. 101.102,Biblioteca Pública Piloto y filiales,Laureles Estadio,Carlos E. Restrepo,"SOLO Auditorio, Archivo Fotográfico y Sala Antioquia. L-V 8:30-5:30 pm. S 9:00-5:00 pm",http://bibliotecasmedellin.gov.co/biblioteca-publica-piloto/,servicios@bibliotecapiloto.gov.co,6.255360808000034,"(6.255360808, -75.577788302)"
9,Parque Biblioteca León de Greiff,CL 59A 36 30,385 73 31,Parque Biblioteca,Villa Hermosa,Enciso,Lunes a sábado: 8:00 am - 7:00 pm. Domingos y festivos: 11:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-leon-de-greiff-la-ladera/,ladera@bibliotecasmedellin.gov.co,6.251406096000039,"(6.251406096, -75.553890266)"
12,Filial Biblioteca Tren de Papel Carlos Castro Saavedra,CL 113 70 73,462 45 48,Biblioteca Pública Piloto y filiales,Castilla,Tejelo,Lunes a viernes: 10:00 am - 6:00 pm. Sábado: 10:00 am - 5:00 pm,http://www.reddebibliotecas.org.co/bibliotecas/bpp-filial-biblioteca-tren-de-papel-carlos-castro-saa,btrendepapel@bibliotecapiloto.gov.co,6.308944613000051,"(6.308944613, -75.568918049)"
21,Biblioteca Pública Corregimental El Limonar,CL 57 Sur  61-02 Barrio El Limonar 1,286 59 23 /  286 87 75,Biblioteca de proximidad,Corregimiento de San Antonio de Prado,AUC2,Lunes a viernes: 9:00 am - 6:00 pm. Sábado: 9:00 am - 4:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publico-corregimental-el-limonar/,limonar@bibliotecasmedellin.gov.co,6.173753278000049,"(6.173753278, -75.64262324)"
5,Parque Biblioteca Fernando Botero,CR 131 62 15,420 43 67 / 420 43 51,Parque Biblioteca,Corregimiento de San Cristóbal,AUC1,Lunes a sábado: 9:00 am - 8:00 pm. Domingos y festivos: 11:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-manuel-mejia-vallejo-guayabal/,sancristobal@bibliotecasmedellin.gov.co,6.277913175000037,"(6.277913175, -75.636810724)"
4,Parque Biblioteca José Horacio Betancur,CR 4C 6 206,286 29 77 / 286 54 24,Parque Biblioteca,Corregimiento de San Antonio de Prado,Área de Expansión San Antonio de Prado,Lunes a sábado: 9:00 am - 8:00 pm. Domingos y festivos: 11:00 am. - 4:00 pm,http://bibliotecasmedellin.gov.co/parque-biblioteca-jose-horacio-betancur-san-antonio-de-prado/,sanantonio@bibliotecasmedellin.gov.co,6.176348572000052,"(6.176348572, -75.654487947)"
30,Biblioteca Pública Altavista,CL 18 103 160 I.E Débora Arango,341 70 93,Biblioteca de proximidad,Corregimiento de Altavista,Altavista Sector Central,Lunes a viernes: 9:00 am – 6:00 pm. Sábado: 9:00 am. – 4:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publica-altavista/,altavista@bibliotecasmedellin.gov.co,6.223816209000063,"(6.223816209, -75.625773027)"
19,Biblioteca Pública Corregimental San Sebastián de Palmitas,CL 20 34 105,387 08 47 / 387 08 12,Biblioteca de proximidad,Corregimiento de San Sebastián de Palmitas,Suburbano Palmitas,Lunes a sábado: 9:00 am - 6:00 pm. Domingo: 11:00 am - 3:00 pm,http://bibliotecasmedellin.gov.co/biblioteca-publico-corregimental-san-sebastian-de-palmitas/,palmitas@bibliotecasmedellin.gov.co,6.343251682000073,"(6.343251682, -75.690425935)"
