CENSUS	YEAR	DATE	Data	DATE	SITE	BLOCK	FIELD	FIELDNEW	CHECK	AREA	SPTREAT	DEPTH	TUSW	GWFG	WHGO	CAGO	MALL	GADW	GWTE	CITE	UNTE	AMWI	NOPI	NOSH	RIDU	CANV	BUFF	WODU	RUDU	EUWI	UNDU	PBGB	SORA	COOT	COMO	AMBI	BCNH	GBHE	SNEG	GREG	WFIB	SACR	AMAV	BNST	BBPL	KILL	LBCU	GRYE	LEYE	LBDO	SNIP	DUNL	WESA	LESA	PEEP	RUFF	UNSH	RBGU	HEGU	CAGU	GUSP	WATERFWL	LLWADERS	SHOREBDS	AQBIRDS
11	2	13-Mar-95	15.00	802	4mile	1	10	110	0	4.5	fld	34.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444444444	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0.666666667
4	1	10-Jan-94	13.00	375	4mile	1	14	114	0	7.75	fld	34.7	0	0	0	0	0.903225806	0	0	0	0	0	0.903225806	2.838709677	0	0	0	0	0	0	0	0	0	6.709677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.64516129	0	0	11.35483871
8	1	18-Feb-94	14.00	414	4mile	1	14	114	0	7.75	fld	34.7	0	0	0	0	1.548387097	0	0	0	0	0	0	13.29032258	0	0	0	0	0	0	0	0.258	0	8.516129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.83870968	0	0	23.61290323
6	1	27-Jan-94	13.00	392	4mile	1	14	114	0	7.75	fld	34.7	0	0	0	0	9.548387097	0	0	0	0	0	0.516129032	12.64516129	0	0	0	0	0	0	0	0.129	0	14.58064516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.70967742	0	0	37.41935484
3	1	07-Dec-93	12.00	341	4mile	1	10	110	0	4.5	fld	33.3	0	0	0	0	3.777777778	1.777777778	0.222222222	0	0	0	1.777777778	3.333333333	0	0	0	0	0	0	0	0	0	6.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.88888889	0	0	17.11111111
7	2	29-Jan-95	13.00	759	4mile	1	3	103	0	19.14	rlfld	33.2	0	0	0	0	2.821316614	0.417972832	1.724137931	0	0	0.940438871	4.754440961	7.471264368	0	0	0	0	0	0	0	0.052246604	0	5.538140021	0.05225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.12957158	0	0	23.77220481
1	1	16-Nov-93	11.00	320	4mile	1	8	108	0	3.36	fld	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	19-Jan-94	13.00	384	4mile	1	14	114	0	7.75	fld	32.7	0	0	0	0	0	0	0	0	0	0	4.774193548	1.935483871	0	0	0	0	0	0	0	0	0	7.35483871	0	0.129032258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.709677419	0.129032258	0	14.19354839
11	2	13-Mar-95	15.00	802	4mile	1	9	109	0	4.12	fld	31.4	0	0	0	0	0	0	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242718447	0	0	0.242718447
5	1	19-Jan-94	13.00	384	4mile	1	8	108	0	3.36	fld	31	0	0	0	0	1.19047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.226190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19047619	0	0	10.41666667
3	1	07-Dec-93	12.00	341	4mile	1	12	112	0	4.23	fld	30.9	0	0	0	0	6.619385343	0.709219858	0.472813239	0	0	0.472813239	1.418439716	0.236406619	0	0	0	0	0	0	2	0	0	17.73049645	0	0.236406619	0	0.236406619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.40189125	0.472813239	0	28.60520095
6	2	24-Jan-95	13.00	754	4mile	1	8	108	0	3.36	fld	30.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.571428571
4	1	10-Jan-94	13.00	375	4mile	1	10	110	0	4.5	fld	30.3	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	7.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	7.333333333
7	2	29-Jan-95	13.00	759	4mile	1	4	104	0	4.52	rlfld	29.5	0	0	0	0	1.548672566	0	0	0	0	0	0.884955752	3.539823009	0	0	0	0	0	0	0	0	0	5.309734513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.973451327	0	0	11.28318584
3	1	07-Dec-93	12.00	341	4mile	1	11	111	0	4.01	fld	29.3	0	0	9.975062344	0	0	1.496259352	0	0	0	0.748129676	0	6.733167082	0	0	0	0	0	0	0	0	0	17.95511222	0	0.249376559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.95261845	0.249376559	0	37.15710723
7	1	10-Feb-94	14.00	406	4mile	1	8	108	0	3.36	fld	29	0	0	0	0	1.785714286	0	0	0	0	0	0	1.19047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.73809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.976190476	32.73809524	0	35.71428571
1	1	16-Nov-93	11.00	320	4mile	1	6	106	0	3.38	rlfld	28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.183431953	0	0	0	0	0	0	0	0	0	0.295857988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295857988	1.479289941
3	2	14-Dec-94	12.00	713	4mile	1	9	109	0	4.12	fld	28.4	0	0	0	0	0	0	0	0	0	0	0.485436893	2.912621359	0	0	0	0	0	0	0	0	0	4.368932039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.398058252	0	0	7.766990291
8	1	18-Feb-94	14.00	414	4mile	1	8	108	0	3.36	fld	28	0	0	0	0	0.297619048	0	0	0	0	0	0	3.869047619	0	0	0	0	0	0	0	0	0	16.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.166666667	0	0	20.83333333
4	1	10-Jan-94	13.00	375	4mile	1	12	112	0	4.23	fld	27.9	0	0	0	0	0.472813239	0	0	0	0	0	0	0.709219858	0	0	0	0	0	0	0	0.236	0	13.4751773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.182033097	0	0	14.89361702
4	2	20-Dec-94	12.00	719	4mile	1	9	109	0	4.12	fld	27.4	0	0	0	0	6.067961165	0.485436893	31.55339806	0	0	75.24271845	143.2038835	5.825242718	0.242718447	0	0	0	0	0.485436893	0	0	0	1.699029126	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24272	0	263.1067961	0.242718447	0	265.2912621
3	2	14-Dec-94	12.00	713	4mile	1	5	105	0	7.66	rlfld	27.1	0	0.130548303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82767624	0	0	0	0	0	0.130548303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130548303	0.130548303	0	2.088772846
1	2	18-Nov-94	11.00	687	4mile	1	9	109	0	4.12	fld	26.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242718447	0	0.242718447
5	2	30-Dec-94	12.00	729	4mile	1	9	109	0	4.12	fld	26.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.737864078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.737864078
7	1	10-Feb-94	14.00	406	4mile	1	10	110	0	4.5	fld	26.3	0	0	0	0	1.777777778	0	0	0	0	0	0.888888889	1.555555556	0	0	0	0	0	0	0	0	0	30.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.222222222	0	0	34.88888889
6	1	27-Jan-94	13.00	392	4mile	1	10	110	0	4.5	fld	26.3	0	0	0	0	4.888888889	0	0	0	0	0	0.888888889	6.888888889	0	0	0	0	0	0	0	0	0	22.44444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.66666667	0	0	35.11111111
1	1	16-Nov-93	11.00	320	4mile	1	9	109	0	4.12	fld	26.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.970873786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.970873786
3	1	07-Dec-93	12.00	341	4mile	1	9	109	0	4.12	fld	26.2	0	0.242718447	335.6796117	1.213592233	5.339805825	0	0	0	0	0	1.45631068	11.65048544	0	0	0	0	0	0	0	0	0.24272	9.951456311	0	0.242718447	0	0	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355.5825243	0.242718447	0.242718447	366.2621359
3	1	07-Dec-93	12.00	341	4mile	1	13	113	0	14.37	fld	26.1	0	0	0	0	2.644398051	0.27835769	3.061934586	0	0	0	9.672929715	3.549060543	0	0.6263	0	0	0	0	0	0	0	0.904662491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.83298539	0	0	20.73764788
1	1	16-Nov-93	11.00	320	4mile	1	10	110	0	4.5	fld	25.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0.666666667	0	0	0	0	0.44444	0	0	1.777777778	0	0	0	0	0	0	0	0	0.222222222	2.888888889	3.111111111
4	1	10-Jan-94	13.00	375	4mile	1	11	111	0	4.01	fld	25.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.96009975	0	0.249376559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249376559	0	16.20947631
5	1	19-Jan-94	13.00	384	4mile	1	10	110	0	4.5	fld	25.3	0	0	0	0	0	0	0.444444444	0	0	0.444444444	2.222222222	0.444444444	0	0	0	0	0	0	0	0	0	12.44444444	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.555555556	0.222222222	0	16.22222222
8	1	18-Feb-94	14.00	414	4mile	1	10	110	0	4.5	fld	25.3	0	0	0	0	1.777777778	0	0.444444444	0	0	0	0	8	0	0	0	0	0	0	0	0	0	15.11111111	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.22222222	0.222222222	0	25.55555556
7	1	10-Feb-94	14.00	406	4mile	1	12	112	0	4.23	fld	24.9	0	0	0	0	0	0	0	0	0	0	0	0.945626478	0	0	0	0	0	0	0	0	0	3.073286052	0	0.472813239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.945626478	0.472813239	0	4.491725768
6	1	27-Jan-94	13.00	392	4mile	1	12	112	0	4.23	fld	24.9	0	0	0	0	8.037825059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6572104	0	0.236406619	0	0	0	0	41.60756501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.945626478	0.236	0	0	8.037825059	41.84397163	0	65.72104019
1	1	16-Nov-93	11.00	320	4mile	1	14	114	0	7.75	fld	24.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903225806	0	0.129032258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129032258	0	1.032258065
6	2	24-Jan-95	13.00	754	4mile	1	12	112	0	4.23	fld	24.7	0	0	0	0	1.182033097	0	0.236406619	0	0	0	0.472813239	11.34751773	0	0	0	0	0	0	0	0	0	8.747044917	0	0.236406619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.23877069	0.236406619	0	22.22222222
2	2	02-Dec-94	12.00	701	4mile	1	9	109	0	4.12	fld	24.4	0	0	0	0	3.398058252	0	0	0	0	0	53.15533981	3.398058252	0	0	0	0	0	0	10	0.242718447	0	2.912621359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.37864078	0	0	65.53398058
6	1	27-Jan-94	13.00	392	4mile	1	9	109	0	4.12	fld	24.2	0	0	0	0	7.281553398	0	0	0	0	0	2.427184466	16.99029126	0	0	0	0	0	0	0	0	0	32.52427184	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.69902913	0.242718447	0	59.46601942
4	2	20-Dec-94	12.00	719	4mile	1	5	105	0	7.66	rlfld	24.1	0	0	0	0	0	0	0	0	0	0.261096606	0	0	0	0	0	0	0	0	1	0	0	4.699738903	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130548303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391644909	0	0.130548303	5.221932115
5	2	30-Dec-94	12.00	729	4mile	1	6	106	0	3.38	rlfld	23.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.621301775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.621301775
3	2	14-Dec-94	12.00	713	4mile	1	3	103	0	19.14	rlfld	23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.307210031	0	0.104493208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104493208	0	8.411703239
5	2	30-Dec-94	12.00	729	4mile	1	5	105	0	7.66	rlfld	23.1	0	0	0	0	0	0	0.261096606	0	0	0	0	0.783289817	0	0	0	0	0	0	0	0.130548303	0	7.441253264	0	0	0	0	0	0	0	0	0	0.91383812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.044386423	0	0.91383812	9.53002611
3	2	14-Dec-94	12.00	713	4mile	1	6	106	0	3.38	rlfld	22.9	0	0	0	0	0.591715976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.733727811	0	0	0	0.295857988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591715976	0.295857988	0	5.621301775
1	1	16-Nov-93	11.00	320	4mile	1	5	105	0	7.66	rlfld	22.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2	29-Jan-95	13.00	759	4mile	1	12	112	0	4.23	fld	22.7	0	0	0	0	5.673758865	0.236406619	0	0	0	0	6.855791962	10.87470449	0	0	0	0	0	0	0	0.472813239	0	7.092198582	0	0.709219858	0	0	0	0	4.01891253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.64066194	4.728132388	0	35.93380615
4	1	10-Jan-94	13.00	375	4mile	1	8	108	0	3.36	fld	22	0	0	0	0	1.19047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19047619	0	0	5.952380952
1	1	16-Nov-93	11.00	320	4mile	1	12	112	0	4.23	fld	21.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236406619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236406619	0	0.236406619
5	1	19-Jan-94	13.00	384	4mile	1	12	112	0	4.23	fld	20.9	0	0	0	0	3.309692671	0	0	0	0	0	0.236406619	9.456264775	0	0	0	0	0	0	0	0	0	17.73049645	0	0.236406619	0	0	0	0	4.01891253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236406619	0	0	0	13.00236407	4.255319149	0	35.22458629
8	2	10-Feb-95	14.00	771	4mile	1	12	112	0	4.23	fld	20.7	0	0	0	0	0	0	0	0.472813239	0	0	0	0	0	0	0	0	0	0	0	0	0	27.65957447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.891252955	0	0	0	0.472813239	0	0	30.02364066
7	2	29-Jan-95	13.00	759	4mile	1	9	109	0	4.12	fld	20.4	0	0	0.242718447	0	4.126213592	0	16.50485437	0	0	0	6.553398058	8.495145631	0	0	0	0	0	0	0	0	0	0.72815534	0	0.242718447	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.9223301	0.485436893	0	37.13592233
6	1	27-Jan-94	13.00	392	4mile	1	11	111	0	4.01	fld	20.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	10-Feb-94	14.00	406	4mile	1	11	111	0	4.01	fld	20.3	0	0	0	0	0	0	0	0	0	0	0	3.241895262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.241895262	0	0	3.241895262
4	2	20-Dec-94	12.00	719	4mile	1	3	103	0	19.14	rlfld	20.2	0	0	0	0	0.052246604	0	0.156739812	0	0	0	0	0	0	0	0	0	0	0	0	0.156739812	0	6.739811912	0	0	0	0	0	0.052246604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208986416	0.052246604	0	7.157784744
5	2	30-Dec-94	12.00	729	4mile	1	3	103	0	19.14	rlfld	20.2	0	0	0	0	0	0	0	0	0	0	0.208986416	0.26123302	0	0	0	0	0	0	0	0	0	9.926854754	0	0.104493208	0	0	0	0	0.156739812	0	0	0	0	0	0.104493208	0	0	0	0	0	0	0	0	0	0	0.104493208	0.052246604	0	0	0.470219436	0.26123302	0.104493208	10.91954023
4	1	10-Jan-94	13.00	375	4mile	1	9	109	0	4.12	fld	20.2	0	0	0	0	0	0	0	0	0	0	0	1.213592233	0	0	0	0	0	0	0	0	0	9.708737864	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.213592233	0.242718447	0	11.16504854
4	1	10-Jan-94	13.00	375	4mile	1	13	113	0	14.37	fld	20.1	0	0	0	0	0	0	0	0	0	0	0.069589422	0.626304802	0	0	0	0	0	0	0	0	0	8.768267223	0	0.069589422	0	0	0	0.069589422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695894224	0.139178845	0	9.603340292
4	2	20-Dec-94	12.00	719	4mile	1	6	106	0	3.38	rlfld	19.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25443787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25443787
