RECORD	DAY	MONTH	YEAR	LOCATION	AGE	SEX	PERIOD	mgconsumed				
202	11	11	97	0	2	0	.00	.47				
203	11	11	97	0	2	0	.00	.25				
204	11	11	97	0	2	0	.00	.33				
207	11	11	97	0	2	0	.00	.01				
208	11	11	97	0	2	0	.00	.27				
211	11	11	97	0	2	0	.00	.66				
215	26	11	97	0	2	0	.00	.05				
216	26	11	97	0	2	0	.00	.22				
217	26	11	97	0	2	0	.00	.42				
218	26	11	97	0	2	0	.00	.04				
219	26	11	97	0	2	0	.00	.28				
220	26	11	97	1	2	0	.00	.02				
221	26	11	97	1	2	0	.00	.03				
225	10	12	97	0	2	0	.00	.21				
226	10	12	97	0	2	0	.00	.37				
227	10	12	97	0	2	0	.00	.58				
228	10	12	97	0	2	0	.00	.33				
237	10	12	97	0	2	0	.00	.41				
242	26	12	97	0	2	0	.00	.05				
243	26	12	97	0	2	0	.00	.16				
245	26	12	97	0	2	0	.00	.26				
246	26	12	97	0	2	0	.00	.14				
248	26	12	97	0	2	0	.00	.11				
251	26	12	97	0	2	0	.00	.23				
252	26	12	97	0	2	0	.00	.36				
253	26	12	97	0	2	0	.00	.27				
255	26	12	97	0	2	0	.00	.14				
258	26	12	97	0	2	0	.00	.07				
269	9	1	98	0	2	0	.00	.17				
271	9	1	98	0	2	0	.00	.20				
276	23	1	98	0	2	0	.00	.68				
279	23	1	98	0	2	0	.00	.20				
283	23	1	98	0	2	0	.00	.27				
289	23	2	98	0	2	0	1.00	.46				
298	23	2	98	1	2	0	1.00	.39				
302	23	2	98	0	2	0	1.00	.32				
303	23	2	98	1	2	0	1.00	.20				
305	23	2	98	0	2	0	1.00	.27				
312	27	2	98	0	2	0	1.00	.04				
317	27	2	98	0	2	0	1.00	.32				
318	27	2	98	0	2	0	1.00	.07				
323	9	3	98	0	2	0	1.00	.05				
328	9	3	98	0	2	0	1.00	.19				
53	2	4	97	1	1	1	1.00	.07				
67	16	5	97	0	1	1	2.00	.18				
69	16	5	97	0	1	1	2.00	.39				
77	17	6	97	1	1	1	2.00	.07				
78	17	6	97	1	1	1	2.00	.10				
79	17	6	97	0	1	1	2.00	.08				
82	17	6	97	1	1	1	2.00	.06				
84	17	6	97	0	1	1	2.00	.18				
86	17	6	97	1	1	1	2.00	.28				
89	30	6	97	0	1	1	2.00	.02				
92	30	6	97	0	1	1	2.00	.12				
100	30	6	97	0	1	1	2.00	.12				
112	15	7	97	0	1	1	2.00	.12				
114	15	7	97	0	1	1	2.00	.26				
118	15	7	97	0	1	1	2.00	.13				
135	12	9	97	0	1	1	.00	.21				
141	12	9	97	1	1	1	.00	.26				
142	12	9	97	1	1	1	.00	.15				
144	12	9	97	0	1	1	.00	.14				
145	12	9	97	0	1	1	.00	.39				
146	12	9	97	0	1	1	.00	.04				
147	12	9	97	0	1	1	.00	.41				
150	26	9	97	0	1	1	.00	.09				
151	26	9	97	0	1	1	.00	.14				
152	26	9	97	0	1	1	.00	.04				
154	26	9	97	0	1	1	.00	.07				
155	26	9	97	0	1	1	.00	.02				
156	26	9	97	0	1	1	.00	.31				
157	26	9	97	0	1	1	.00	.35				
158	26	9	97	0	1	1	.00	.04				
159	26	9	97	0	1	1	.00	.09				
160	26	9	97	0	1	1	.00	.14				
162	26	9	97	0	1	1	.00	.11				
163	26	9	97	0	1	1	.00	.13				
167	13	10	97	0	1	1	.00	.10				
170	13	10	97	0	1	1	.00	.10				
171	13	10	97	0	1	1	.00	.62				
176	13	10	97	0	1	1	.00	.25				
177	13	10	97	0	1	1	.00	.09				
180	13	10	97	0	1	1	.00	.05				
182	13	10	97	0	1	1	.00	.02				
186	27	10	97	0	1	1	.00	.17				
187	27	10	97	0	1	1	.00	.08				
189	27	10	97	0	1	1	.00	.27				
190	27	10	97	0	1	1	.00	.22				
193	27	10	97	0	1	1	.00	.19				
198	11	11	97	1	1	1	.00	.26				
212	26	11	97	0	1	1	.00	.06				
214	26	11	97	0	1	1	.00	.12				
222	26	11	97	0	1	1	.00	.08				
223	26	11	97	0	1	1	.00	.08				
224	26	11	97	0	1	1	.00	.18				
230	10	12	97	0	1	1	.00	.29				
233	10	12	97	0	1	1	.00	.18				
238	10	12	97	0	1	1	.00	.31				
241	10	12	97	0	1	1	.00	.12				
257	26	12	97	0	1	1	.00	.34				
262	9	1	98	0	1	1	.00	.40				
263	9	1	98	0	1	1	.00	.24				
272	9	1	98	0	1	1	.00	.57				
273	23	1	98	0	1	1	.00	.17				
277	23	1	98	0	1	1	.00	.37				
281	23	1	98	0	1	1	.00	.15				
282	23	1	98	0	1	1	.00	.10				
290	23	2	98	0	1	1	1.00	.31				
295	23	2	98	0	1	1	1.00	.30				
297	23	2	98	0	1	1	1.00	.15				
300	23	2	98	0	1	1	1.00	.07				
301	23	2	98	0	1	1	1.00	.46				
308	27	2	98	0	1	1	1.00	.04				
309	27	2	98	1	1	1	1.00	.47				
310	27	2	98	1	1	1	1.00	.13				
311	27	2	98	0	1	1	1.00	.14				
313	27	2	98	0	1	1	1.00	.20				
314	27	2	98	0	1	1	1.00	.36				
319	9	3	98	0	1	1	1.00	.36				
322	9	3	98	0	1	1	1.00	.23				
329	9	3	98	0	1	1	1.00	.26				
52	2	4	97	1	1	2	1.00	.19				
54	2	4	97	1	1	2	1.00	.24				
55	2	4	97	1	1	2	1.00	.25				
56	2	4	97	1	1	2	1.00	.40				
58	2	4	97	1	1	2	1.00	.24				
60	2	4	97	1	1	2	1.00	.14				
61	2	4	97	1	1	2	1.00	.07				
63	16	5	97	0	1	2	2.00	.02				
64	16	5	97	1	1	2	2.00	.45				
71	16	5	97	0	1	2	2.00	.39				
72	16	5	97	0	1	2	2.00	.32				
73	16	5	97	0	1	2	2.00	.34				
75	16	5	97	0	1	2	2.00	.21				
76	17	6	97	0	1	2	2.00	.11				
80	17	6	97	0	1	2	2.00	.24				
83	17	6	97	0	1	2	2.00	.07				
85	17	6	97	1	1	2	2.00	.19				
87	17	6	97	0	1	2	2.00	.29				
88	17	6	97	0	1	2	2.00	.06				
91	30	6	97	0	1	2	2.00	.34				
94	30	6	97	0	1	2	2.00	.16				
95	30	6	97	0	1	2	2.00	.20				
96	30	6	97	0	1	2	2.00	.09				
97	30	6	97	0	1	2	2.00	.18				
98	30	6	97	0	1	2	2.00	.24				
99	30	6	97	0	1	2	2.00	.18				
102	15	7	97	0	1	2	2.00	.24				
103	15	7	97	0	1	2	2.00	.10				
104	15	7	97	0	1	2	2.00	.16				
105	15	7	97	0	1	2	2.00	.05				
106	15	7	97	0	1	2	2.00	.12				
107	15	7	97	0	1	2	2.00	.17				
108	15	7	97	0	1	2	2.00	.23				
110	15	7	97	0	1	2	2.00	.08				
113	15	7	97	0	1	2	2.00	.10				
115	15	7	97	0	1	2	2.00	.17				
116	15	7	97	0	1	2	2.00	.17				
117	15	7	97	0	1	2	2.00	.24				
119	15	7	97	0	1	2	2.00	.11				
120	15	7	97	0	1	2	2.00	.21				
121	30	7	97	0	1	2	2.00	.27				
122	30	7	97	0	1	2	2.00	.12				
123	30	7	97	0	1	2	2.00	.23				
134	12	9	97	0	1	2	.00	.12				
136	12	9	97	0	1	2	.00	.12				
137	12	9	97	0	1	2	.00	.09				
138	12	9	97	0	1	2	.00	.08				
139	12	9	97	0	1	2	.00	.17				
140	12	9	97	0	1	2	.00	.18				
148	12	9	97	0	1	2	.00	1.07				
149	26	9	97	0	1	2	.00	.03				
153	26	9	97	0	1	2	.00	.21				
161	26	9	97	0	1	2	.00	.07				
164	26	9	97	0	1	2	.00	.07				
165	26	9	97	0	1	2	.00	.13				
166	26	9	97	0	1	2	.00	.07				
168	13	10	97	0	1	2	.00	.06				
169	13	10	97	0	1	2	.00	.55				
173	13	10	97	0	1	2	.00	.06				
175	13	10	97	0	1	2	.00	.52				
178	13	10	97	0	1	2	.00	.24				
179	13	10	97	0	1	2	.00	.14				
181	13	10	97	0	1	2	.00	.11				
183	13	10	97	0	1	2	.00	.05				
184	13	10	97	0	1	2	.00	.04				
185	13	10	97	0	1	2	.00	.18				
191	27	10	97	0	1	2	.00	.11				
194	27	10	97	0	1	2	.00	.38				
195	27	10	97	0	1	2	.00	.04				
196	11	11	97	0	1	2	.00	.42				
199	11	11	97	0	1	2	.00	.37				
200	11	11	97	0	1	2	.00	.06				
201	11	11	97	0	1	2	.00	.27				
205	11	11	97	0	1	2	.00	.31				
206	11	11	97	0	1	2	.00	.46				
209	11	11	97	0	1	2	.00	.40				
210	11	11	97	0	1	2	.00	.51				
213	26	11	97	0	1	2	.00	.93				
229	10	12	97	0	1	2	.00	.41				
231	10	12	97	0	1	2	.00	.62				
232	10	12	97	0	1	2	.00	.32				
234	10	12	97	0	1	2	.00	.27				
235	10	12	97	0	1	2	.00	.25				
236	10	12	97	0	1	2	.00	.26				
239	10	12	97	0	1	2	.00	.38				
240	10	12	97	0	1	2	.00	.32				
244	26	12	97	0	1	2	.00	.12				
247	26	12	97	0	1	2	.00	.20				
249	26	12	97	0	1	2	.00	.07				
250	26	12	97	0	1	2	.00	.18				
254	26	12	97	0	1	2	.00	.15				
256	26	12	97	0	1	2	.00	.05				
259	26	12	97	0	1	2	.00	.03				
260	9	1	98	0	1	2	.00	.29				
261	9	1	98	0	1	2	.00	.04				
264	9	1	98	0	1	2	.00	.10				
265	9	1	98	0	1	2	.00	.53				
266	9	1	98	0	1	2	.00	.47				
267	9	1	98	0	1	2	.00	.61				
268	9	1	98	0	1	2	.00	.33				
270	9	1	98	0	1	2	.00	.36				
274	23	1	98	0	1	2	.00	.35				
275	23	1	98	0	1	2	.00	.12				
278	23	1	98	0	1	2	.00	.05				
280	23	1	98	0	1	2	.00	.16				
284	23	1	98	0	1	2	.00	.05				
285	23	1	98	0	1	2	.00	.13				
286	23	1	98	0	1	2	.00	.34				
287	23	2	98	0	1	2	1.00	.25				
288	23	2	98	0	1	2	1.00	.31				
291	23	2	98	0	1	2	1.00	.35				
292	23	2	98	0	1	2	1.00	.33				
293	23	2	98	0	1	2	1.00	.28				
294	23	2	98	0	1	2	1.00	.08				
296	23	2	98	0	1	2	1.00	.34				
299	23	2	98	0	1	2	1.00	.40				
304	23	2	98	0	1	2	1.00	.16				
306	23	2	98	0	1	2	1.00	.38				
307	23	2	98	0	1	2	1.00	.20				
315	27	2	98	0	1	2	1.00	.13				
316	27	2	98	0	1	2	1.00	.31				
320	9	3	98	0	1	2	1.00	.44				
321	9	3	98	0	1	2	1.00	.20				
324	9	3	98	0	1	2	1.00	.32				
325	9	3	98	0	1	2	1.00	.32				
326	9	3	98	0	1	2	1.00	.40				
327	9	3	98	1	1	2	1.00	.37				
330	9	3	98	0	1	2	1.00	.49				
