Entry_variety_id  ,  plot ,RawYield ,Rep ,    LOC ,  I ,NLOC ,  Yield ,     LAT   ,   LNG 
    NE86482       ,    21 ,1121     ,    , 560.00 ,  1 ,   4 , 28.000 ,       2   ,    14
    HOMESTEAD     ,    22 ,1122     ,    , 566.00 ,  1 ,   4 , 28.300 ,       2   ,    15
    LANCOTA       ,    23 ,1123     ,    , 514.00 ,  1 ,   4 , 25.700 ,       2   ,    16
    NE86501       ,    24 ,1124     ,    , 635.00 ,  1 ,   4 , 31.750 ,       2   ,    17
    NE86503       ,    25 ,1125     ,    , 840.00 ,  1 ,   4 , 42.000 ,       2   ,    18
    NE86507       ,    26 ,1126     ,    , 618.00 ,  1 ,   4 , 30.900 ,       2   ,    19
    NE86509       ,    27 ,1127     ,    , 658.00 ,  1 ,   4 , 32.900 ,       2   ,    20
    TAM 107       ,    28 ,1128     ,    , 481.00 ,  1 ,   4 , 24.050 ,       2   ,    21
    CHEYENNE      ,    29 ,1129     ,  1 , 564.00 ,  1 ,   4 , 28.200 ,       2   ,    22
    BUCKSKIN      ,    30 ,1130     ,    , 597.00 ,  1 ,   4 , 29.850 ,       3   ,     1
    NE86527       ,    31 ,1131     ,    , 580.00 ,  1 ,   4 , 29.000 ,       3   ,     2
    NE86582       ,    32 ,1132     ,    , 418.00 ,  1 ,   4 , 20.900 ,       3   ,     3
    NE86606       ,    33 ,1133     ,    , 526.00 ,  1 ,   4 , 26.300 ,       3   ,     4
    NE86607       ,    34 ,1134     ,    , 517.00 ,  1 ,   4 , 25.850 ,       3   ,     5
    ROUGHRIDER    ,    35 ,1135     ,    , 479.00 ,  1 ,   4 , 23.950 ,       3   ,     6
    VONA          ,    36 ,1136     ,    , 506.00 ,  1 ,   4 , 25.300 ,       3   ,     7
    SIOUXLAND     ,    37 ,1137     ,    , 542.00 ,  1 ,   4 , 27.100 ,       3   ,     8
    GAGE          ,    38 ,1138     ,    , 513.00 ,  1 ,   4 , 25.650 ,       3   ,     9
    NE83T12       ,    39 ,1139     ,    , 504.00 ,  1 ,   4 , 25.200 ,       3   ,    10
    NE86T666      ,    40 ,1140     ,    , 368.00 ,  1 ,   4 , 18.400 ,       3   ,    11
    NE87403       ,    41 ,1141     ,    , 437.00 ,  1 ,   4 , 21.850 ,       3   ,    12
    NE87408       ,    42 ,1142     ,    , 540.00 ,  1 ,   4 , 27.000 ,       3   ,    13
    NE87409       ,    43 ,1143     ,    , 631.00 ,  1 ,   4 , 31.550 ,       3   ,    14
    NE87446       ,    44 ,1144     ,    , 610.00 ,  1 ,   4 , 30.500 ,       3   ,    15
    NE87451       ,    45 ,1145     ,    , 639.00 ,  1 ,   4 , 31.950 ,       3   ,    16
    NE87457       ,    46 ,1146     ,    , 611.00 ,  1 ,   4 , 30.550 ,       3   ,    17
    NE87463       ,    47 ,1147     ,    , 545.00 ,  1 ,   4 , 27.250 ,       3   ,    18
    NE87499       ,    48 ,1148     ,    , 598.00 ,  1 ,   4 , 29.900 ,       3   ,    19
    NE87512       ,    49 ,1149     ,    , 656.00 ,  1 ,   4 , 32.800 ,       3   ,    20
    NE87513       ,    50 ,1150     ,    , 557.00 ,  1 ,   4 , 27.850 ,       3   ,    21
    NE87522       ,    51 ,1151     ,  1 , 486.00 ,  1 ,   4 , 24.300 ,       3   ,    22
    NE87612       ,    52 ,1152     ,    , 563.00 ,  1 ,   4 , 28.150 ,       4   ,     1
    NE87613       ,    53 ,1153     ,    , 539.00 ,  1 ,   4 , 26.950 ,       4   ,     2
    NE87615       ,    54 ,1154     ,    , 502.00 ,  1 ,   4 , 25.100 ,       4   ,     3
    NE87619       ,    55 ,1155     ,    , 605.00 ,  1 ,   4 , 30.250 ,       4   ,     4
    NE87627       ,    56 ,1156     ,  1 , 403.00 ,  1 ,   4 , 20.150 ,       4   ,     5
    RC            ,       ,         ,    ,        ,    ,     ,   .    ,       4   ,     6
    CENTURA       ,     9 ,2101     ,    , 556.00 ,  2 ,   4 , 27.800 ,       4   ,     7
    NE85623       ,    16 ,2102     ,    , 569.00 ,  2 ,   4 , 28.450 ,       4   ,     8
    CODY          ,     4 ,2103     ,    , 455.00 ,  2 ,   4 , 22.750 ,       4   ,     9
    NE86582       ,    32 ,2104     ,    , 534.00 ,  2 ,   4 , 26.700 ,       4   ,    10
    NE87408       ,    42 ,2105     ,    , 513.00 ,  2 ,   4 , 25.650 ,       4   ,    11
    NE87451       ,    45 ,2106     ,    , 549.00 ,  2 ,   4 , 27.450 ,       4   ,    12
    NE83432       ,    14 ,2107     ,    , 620.00 ,  2 ,   4 , 31.000 ,       4   ,    13
    CENTURK 78    ,    17 ,2108     ,    , 498.00 ,  2 ,   4 , 24.900 ,       4   ,    14
    NE83T12       ,    39 ,2109     ,    , 513.00 ,  2 ,   4 , 25.650 ,       4   ,    15
    NE87409       ,    43 ,2110     ,    , 648.00 ,  2 ,   4 , 32.400 ,       4   ,    16
    NE87513       ,    50 ,2111     ,    , 624.00 ,  2 ,   4 , 31.200 ,       4   ,    17
    NE87627       ,    56 ,2112     ,    , 552.00 ,  2 ,   4 , 27.600 ,       4   ,    18
    ARAPAHOE      ,     5 ,2113     ,    , 693.00 ,  2 ,   4 , 34.650 ,       4   ,    19
    LANCER        ,     1 ,2114     ,    , 570.00 ,  2 ,   4 , 28.500 ,       4   ,    20
    TAM 107       ,    28 ,2115     ,    , 589.00 ,  2 ,   4 , 29.450 ,       4   ,    21
    REDLAND       ,     3 ,2116     ,  1 , 611.00 ,  2 ,   4 , 30.550 ,       4   ,    22
    VONA          ,    36 ,2117     ,    , 536.00 ,  2 ,   4 , 26.800 ,       5   ,     1
    NE87463       ,    47 ,2118     ,    , 477.00 ,  2 ,   4 , 23.850 ,       5   ,     2
    NE86507       ,    26 ,2119     ,    , 548.00 ,  2 ,   4 , 27.400 ,       5   ,     3
    BUCKSKIN      ,    30 ,2120     ,    , 602.00 ,  2 ,   4 , 30.100 ,       5   ,     4
    ROUGHRIDER    ,    35 ,2121     ,    , 495.00 ,  2 ,   4 , 24.750 ,       5   ,     5
    NE86527       ,    31 ,2122     ,    , 507.00 ,  2 ,   4 , 25.350 ,       5   ,     6
    SCOUT 66      ,    10 ,2123     ,    , 520.00 ,  2 ,   4 , 26.000 ,       5   ,     7
    NE86509       ,    27 ,2124     ,    , 500.00 ,  2 ,   4 , 25.000 ,       5   ,     8
    NE86606       ,    33 ,2125     ,    , 587.00 ,  2 ,   4 , 29.350 ,       5   ,     9
    NE84557       ,    13 ,2126     ,    , 572.00 ,  2 ,   4 , 28.600 ,       5   ,    10
    KS831374      ,    19 ,2127     ,    , 534.00 ,  2 ,   4 , 26.700 ,       5   ,    11
    GAGE          ,    38 ,2128     ,    , 505.00 ,  2 ,   4 , 25.250 ,       5   ,    12
    NE87619       ,    55 ,2129     ,    , 675.00 ,  2 ,   4 , 33.750 ,       5   ,    13
    NE87499       ,    48 ,2130     ,    , 446.00 ,  2 ,   4 , 22.300 ,       5   ,    14
    CHEYENNE      ,    29 ,2131     ,    , 561.00 ,  2 ,   4 , 28.050 ,       5   ,    15
    NE86607       ,    34 ,2132     ,    , 691.00 ,  2 ,   4 , 34.550 ,       5   ,    16
    NE83498       ,    12 ,2133     ,    , 748.00 ,  2 ,   4 , 37.400 ,       5   ,    17
    NE83404       ,     6 ,2134     ,    , 580.00 ,  2 ,   4 , 29.000 ,       5   ,    18
    NE87446       ,    44 ,2135     ,    , 624.00 ,  2 ,   4 , 31.200 ,       5   ,    19
    SIOUXLAND     ,    37 ,2136     ,    , 742.00 ,  2 ,   4 , 37.100 ,       5   ,    20
    HOMESTEAD     ,    22 ,2137     ,    , 590.00 ,  2 ,   4 , 29.500 ,       5   ,    21
    NE86501       ,    24 ,2138     ,  1 , 627.00 ,  2 ,   4 , 31.350 ,       5   ,    22
    NE87512       ,    49 ,2139     ,    , 404.00 ,  2 ,   4 , 20.200 ,       6   ,     1
    NE83407       ,     8 ,2140     ,    , 528.00 ,  2 ,   4 , 26.400 ,       6   ,     2
    NE87403       ,    41 ,2141     ,    , 513.00 ,  2 ,   4 , 25.650 ,       6   ,     3
    NE87457       ,    46 ,2142     ,    , 638.00 ,  2 ,   4 , 31.900 ,       6   ,     4
    NE83406       ,     7 ,2143     ,    , 621.00 ,  2 ,   4 , 31.050 ,       6   ,     5
    COLT          ,    11 ,2144     ,    , 615.00 ,  2 ,   4 , 30.750 ,       6   ,     6
    NE87522       ,    51 ,2145     ,    , 543.00 ,  2 ,   4 , 27.150 ,       6   ,     7
    NORKAN        ,    18 ,2146     ,    , 606.00 ,  2 ,   4 , 30.300 ,       6   ,     8
    NE87615       ,    54 ,2147     ,    , 634.00 ,  2 ,   4 , 31.700 ,       6   ,     9
    NE85556       ,    15 ,2148     ,    , 610.00 ,  2 ,   4 , 30.500 ,       6   ,    10
    TAM 200       ,    20 ,2149     ,    , 487.00 ,  2 ,   4 , 24.350 ,       6   ,    11
    LANCOTA       ,    23 ,2150     ,    , 522.00 ,  2 ,   4 , 26.100 ,       6   ,    12
    NE86503       ,    25 ,2151     ,    , 599.00 ,  2 ,   4 , 29.950 ,       6   ,    13
    NE86482       ,    21 ,2152     ,    , 656.00 ,  2 ,   4 , 32.800 ,       6   ,    14
    BRULE         ,     2 ,2153     ,    , 563.00 ,  2 ,   4 , 28.150 ,       6   ,    15
    NE87612       ,    52 ,2154     ,    , 654.00 ,  2 ,   4 , 32.700 ,       6   ,    16
    NE87613       ,    53 ,2155     ,    , 738.00 ,  2 ,   4 , 36.900 ,       6   ,    17
    NE86T666      ,    40 ,2156     ,  1 , 368.00 ,  2 ,   4 , 18.400 ,       6   ,    18
    RC            ,       ,         ,    ,        ,    ,     ,   .    ,       6   ,    19
    NE86607       ,    34 ,3101     ,    , 623.00 ,  3 ,   4 , 31.150 ,       6   ,    20
    LANCOTA       ,    23 ,3102     ,    , 539.00 ,  3 ,   4 , 26.950 ,       6   ,    21
    NE87513       ,    50 ,3103     ,  1 , 616.00 ,  3 ,   4 , 30.800 ,       6   ,    22
    NE87408       ,    42 ,3104     ,    , 438.00 ,  3 ,   4 , 21.900 ,       7   ,     1
    NE83407       ,     8 ,3105     ,    , 592.00 ,  3 ,   4 , 29.600 ,       7   ,     2
    NORKAN        ,    18 ,3106     ,    , 485.00 ,  3 ,   4 , 24.250 ,       7   ,     3
    REDLAND       ,     3 ,3107     ,    , 542.00 ,  3 ,   4 , 27.100 ,       7   ,     4
    KS831374      ,    19 ,3108     ,    , 421.00 ,  3 ,   4 , 21.050 ,       7   ,     5
    COLT          ,    11 ,3109     ,    , 479.00 ,  3 ,   4 , 23.950 ,       7   ,     6
    NE86527       ,    31 ,3110     ,    , 546.00 ,  3 ,   4 , 27.300 ,       7   ,     7
    VONA          ,    36 ,3111     ,    , 600.00 ,  3 ,   4 , 30.000 ,       7   ,     8
    TAM 107       ,    28 ,3112     ,    , 690.00 ,  3 ,   4 , 34.500 ,       7   ,     9
    CENTURK 78    ,    17 ,3113     ,    , 662.00 ,  3 ,   4 , 33.100 ,       7   ,    10
    NE87627       ,    56 ,3114     ,    , 564.00 ,  3 ,   4 , 28.200 ,       7   ,    11
    NE86T666      ,    40 ,3115     ,    , 516.00 ,  3 ,   4 , 25.800 ,       7   ,    12
    NE87615       ,    54 ,3116     ,    , 679.00 ,  3 ,   4 , 33.950 ,       7   ,    13
    NE86501       ,    24 ,3117     ,    , 607.00 ,  3 ,   4 , 30.350 ,       7   ,    14
    NE87522       ,    51 ,3118     ,    , 378.00 ,  3 ,   4 , 18.900 ,       7   ,    15
    CHEYENNE      ,    29 ,3119     ,    , 678.00 ,  3 ,   4 , 33.900 ,       7   ,    16
    SIOUXLAND     ,    37 ,3120     ,    , 675.00 ,  3 ,   4 , 33.750 ,       7   ,    17
    NE87451       ,    45 ,3121     ,    , 679.00 ,  3 ,   4 , 33.950 ,       7   ,    18
    GAGE          ,    38 ,3122     ,    , 500.00 ,  3 ,   4 , 25.000 ,       7   ,    19
    LANCER        ,     1 ,3123     ,    , 562.00 ,  3 ,   4 , 28.100 ,       7   ,    20
    NE87446       ,    44 ,3124     ,    , 500.00 ,  3 ,   4 , 25.000 ,       7   ,    21
    NE86482       ,    21 ,3125     ,  1 , 606.00 ,  3 ,   4 , 30.300 ,       7   ,    22
    CODY          ,     4 ,3126     ,    , 337.00 ,  3 ,   4 , 16.850 ,       8   ,     1
    NE87612       ,    52 ,3127     ,    , 342.00 ,  3 ,   4 , 17.100 ,       8   ,     2
    NE87457       ,    46 ,3128     ,    , 191.00 ,  3 ,   4 ,  9.550 ,       8   ,     3
    NE84557       ,    13 ,3129     ,    ,  30.00 ,  3 ,   4 ,  1.500 ,       8   ,     4
    NE83T12       ,    39 ,3130     ,    , 255.00 ,  3 ,   4 , 12.750 ,       8   ,     5
    NE86507       ,    26 ,3131     ,    , 443.00 ,  3 ,   4 , 22.150 ,       8   ,     6
    TAM 200       ,    20 ,3132     ,    , 384.00 ,  3 ,   4 , 19.200 ,       8   ,     7
    NE87613       ,    53 ,3133     ,    , 471.00 ,  3 ,   4 , 23.550 ,       8   ,     8
    ARAPAHOE      ,     5 ,3134     ,    , 501.00 ,  3 ,   4 , 25.050 ,       8   ,     9
    SCOUT 66      ,    10 ,3135     ,    , 665.00 ,  3 ,   4 , 33.250 ,       8   ,    10
    NE87403       ,    41 ,3136     ,    , 480.00 ,  3 ,   4 , 24.000 ,       8   ,    11
    NE85623       ,    16 ,3137     ,    , 635.00 ,  3 ,   4 , 31.750 ,       8   ,    12
    NE86509       ,    27 ,3138     ,    , 481.00 ,  3 ,   4 , 24.050 ,       8   ,    13
    NE85556       ,    15 ,3139     ,    , 769.00 ,  3 ,   4 , 38.450 ,       8   ,    14
    HOMESTEAD     ,    22 ,3140     ,    , 517.00 ,  3 ,   4 , 25.850 ,       8   ,    15
    NE83404       ,     6 ,3141     ,    , 656.00 ,  3 ,   4 , 32.800 ,       8   ,    16
    NE86503       ,    25 ,3142     ,    , 702.00 ,  3 ,   4 , 35.100 ,       8   ,    17
    NE86582       ,    32 ,3143     ,    , 621.00 ,  3 ,   4 , 31.050 ,       8   ,    18
    NE87619       ,    55 ,3144     ,    , 663.00 ,  3 ,   4 , 33.150 ,       8   ,    19
    NE87463       ,    47 ,3145     ,    , 580.00 ,  3 ,   4 , 29.000 ,       8   ,    20
    NE86606       ,    33 ,3146     ,    , 643.00 ,  3 ,   4 , 32.150 ,       8   ,    21
    BRULE         ,     2 ,3147     ,  1 , 818.00 ,  3 ,   4 , 40.900 ,       8   ,    22
    BUCKSKIN      ,    30 ,3148     ,    , 360.00 ,  3 ,   4 , 18.000 ,       9   ,     1
    NE83406       ,     7 ,3149     ,    ,  43.00 ,  3 ,   4 ,  2.150 ,       9   ,     2
    NE87409       ,    43 ,3150     ,    ,  75.00 ,  3 ,   4 ,  3.750 ,       9   ,     3
    NE87499       ,    48 ,3151     ,    ,  59.00 ,  3 ,   4 ,  2.950 ,       9   ,     4
    CENTURA       ,     9 ,3152     ,    , 174.00 ,  3 ,   4 ,  8.700 ,       9   ,     5
    NE83432       ,    14 ,3153     ,    , 221.00 ,  3 ,   4 , 11.050 ,       9   ,     6
    NE87512       ,    49 ,3154     ,    , 247.00 ,  3 ,   4 , 12.350 ,       9   ,     7
    ROUGHRIDER    ,    35 ,3155     ,    , 449.00 ,  3 ,   4 , 22.450 ,       9   ,     8
    NE83498       ,    12 ,3156     ,  1 , 538.00 ,  3 ,   4 , 26.900 ,       9   ,     9
    RC            ,       ,         ,    ,        ,    ,     ,   .    ,       9   ,    10
    NE86T666      ,    40 ,4101     ,    , 471.00 ,  4 ,   4 , 23.550 ,       9   ,    11
    NE87403       ,    41 ,4102     ,    , 580.00 ,  4 ,   4 , 29.000 ,       9   ,    12
    NE87512       ,    49 ,4103     ,    , 553.00 ,  4 ,   4 , 27.650 ,       9   ,    13
    NE87446       ,    44 ,4104     ,    , 480.00 ,  4 ,   4 , 24.000 ,       9   ,    14
    CENTURA       ,     9 ,4105     ,    , 515.00 ,  4 ,   4 , 25.750 ,       9   ,    15
    NE86503       ,    25 ,4106     ,    , 471.00 ,  4 ,   4 , 23.550 ,       9   ,    16
    NE87408       ,    42 ,4107     ,    , 613.00 ,  4 ,   4 , 30.650 ,       9   ,    17
    COLT          ,    11 ,4108     ,    , 564.00 ,  4 ,   4 , 28.200 ,       9   ,    18
    LANCER        ,     1 ,4109     ,    , 568.00 ,  4 ,   4 , 28.400 ,       9   ,    19
    NE83406       ,     7 ,4110     ,    , 574.00 ,  4 ,   4 , 28.700 ,       9   ,    20
    NE86607       ,    34 ,4111     ,    , 515.00 ,  4 ,   4 , 25.750 ,       9   ,    21
    SIOUXLAND     ,    37 ,4112     ,  1 , 450.00 ,  4 ,   4 , 22.500 ,       9   ,    22
    NE87612       ,    52 ,4113     ,    , 185.00 ,  4 ,   4 ,  9.250 ,      10   ,     1
    BUCKSKIN      ,    30 ,4114     ,    , 486.00 ,  4 ,   4 , 24.300 ,      10   ,     2
    NE85556       ,    15 ,4115     ,    ,  99.00 ,  4 ,   4 ,  4.950 ,      10   ,     3
    BRULE         ,     2 ,4116     ,    ,  74.00 ,  4 ,   4 ,  3.700 ,      10   ,     4
    NE86507       ,    26 ,4117     ,    , 294.00 ,  4 ,   4 , 14.700 ,      10   ,     5
    ROUGHRIDER    ,    35 ,4118     ,    , 272.00 ,  4 ,   4 , 13.600 ,      10   ,     6
    VONA          ,    36 ,4119     ,    , 246.00 ,  4 ,   4 , 12.300 ,      10   ,     7
    NE83404       ,     6 ,4120     ,    , 350.00 ,  4 ,   4 , 17.500 ,      10   ,     8
    CODY          ,     4 ,4121     ,    , 303.00 ,  4 ,   4 , 15.150 ,      10   ,     9
    NE87463       ,    47 ,4122     ,    , 471.00 ,  4 ,   4 , 23.550 ,      10   ,    10
    NE86582       ,    32 ,4123     ,    , 390.00 ,  4 ,   4 , 19.500 ,      10   ,    11
    NE87499       ,    48 ,4124     ,    , 530.00 ,  4 ,   4 , 26.500 ,      10   ,    12
    NORKAN        ,    18 ,4125     ,    , 416.00 ,  4 ,   4 , 20.800 ,      10   ,    13
    SCOUT 66      ,    10 ,4126     ,    , 506.00 ,  4 ,   4 , 25.300 ,      10   ,    14
    NE87513       ,    50 ,4127     ,    , 348.00 ,  4 ,   4 , 17.400 ,      10   ,    15
    NE83T12       ,    39 ,4128     ,    , 453.00 ,  4 ,   4 , 22.650 ,      10   ,    16
    CENTURK 78    ,    17 ,4129     ,    , 632.00 ,  4 ,   4 , 31.600 ,      10   ,    17
    NE87627       ,    56 ,4130     ,    , 339.00 ,  4 ,   4 , 16.950 ,      10   ,    18
    NE86606       ,    33 ,4131     ,    , 625.00 ,  4 ,   4 , 31.250 ,      10   ,    19
    NE87457       ,    46 ,4132     ,    , 473.00 ,  4 ,   4 , 23.650 ,      10   ,    20
    NE86509       ,    27 ,4133     ,    , 509.00 ,  4 ,   4 , 25.450 ,      10   ,    21
    LANCOTA       ,    23 ,4134     ,  1 , 549.00 ,  4 ,   4 , 27.450 ,      10   ,    22
    KS831374      ,    19 ,4135     ,    , 291.00 ,  4 ,   4 , 14.550 ,      11   ,     1
    NE86482       ,    21 ,4136     ,    , 121.00 ,  4 ,   4 ,  6.050 ,      11   ,     2
    NE85623       ,    16 ,4137     ,    ,  21.00 ,  4 ,   4 ,  1.050 ,      11   ,     3
    NE86527       ,    31 ,4138     ,    , 128.00 ,  4 ,   4 ,  6.400 ,      11   ,     4
    NE87451       ,    45 ,4139     ,    , 102.00 ,  4 ,   4 ,  5.100 ,      11   ,     5
    NE87409       ,    43 ,4140     ,    , 356.00 ,  4 ,   4 , 17.800 ,      11   ,     6
    GAGE          ,    38 ,4141     ,    , 443.00 ,  4 ,   4 , 22.150 ,      11   ,     7
    NE83407       ,     8 ,4142     ,    , 307.00 ,  4 ,   4 , 15.350 ,      11   ,     8
    NE87615       ,    54 ,4143     ,    , 240.00 ,  4 ,   4 , 12.000 ,      11   ,     9
    ARAPAHOE      ,     5 ,4144     ,    , 500.00 ,  4 ,   4 , 25.000 ,      11   ,    10
    CHEYENNE      ,    29 ,4145     ,    , 442.00 ,  4 ,   4 , 22.100 ,      11   ,    11
    REDLAND       ,     3 ,4146     ,    , 586.00 ,  4 ,   4 , 29.300 ,      11   ,    12
    NE83432       ,    14 ,4147     ,    , 469.00 ,  4 ,   4 , 23.450 ,      11   ,    13
    NE87619       ,    55 ,4148     ,    , 558.00 ,  4 ,   4 , 27.900 ,      11   ,    14
    NE83498       ,    12 ,4149     ,    , 632.00 ,  4 ,   4 , 31.600 ,      11   ,    15
    NE87613       ,    53 ,4150     ,    , 604.00 ,  4 ,   4 , 30.200 ,      11   ,    16
    NE86501       ,    24 ,4151     ,    , 606.00 ,  4 ,   4 , 30.300 ,      11   ,    17
    TAM 200       ,    20 ,4152     ,    , 406.00 ,  4 ,   4 , 20.300 ,      11   ,    18
    NE87522       ,    51 ,4153     ,    , 593.00 ,  4 ,   4 , 29.650 ,      11   ,    19
    NE84557       ,    13 ,4154     ,    , 531.00 ,  4 ,   4 , 26.550 ,      11   ,    20
    TAM 107       ,    28 ,4155     ,    , 512.00 ,  4 ,   4 , 25.600 ,      11   ,    21
    HOMESTEAD     ,    22 ,4156     ,  1 , 538.00 ,  4 ,   4 , 26.900 ,      11   ,    22
